Img,Metrica,Referencia,Medido,Erro %
Eucalipto1,Altura Vert.,772,758.0,1.8134715025906736
Eucalipto1,Compr Total,697,703.0,0.860832137733142
Eucalipto1,Diâmetro,12,12.0,0.0
Eucalipto1,Área,62484,61644.0,1.3443441521029384
Eucalipto1,Nro Folhas,11,11.0,0.0
Eucalipto2,Altura Vert.,1179,1158.0,1.7811704834605597
Eucalipto2,Compr Total,961,988.0,2.8095733610822062
Eucalipto2,Diâmetro,19,18.0,5.2631578947368425
Eucalipto2,Área,217423,209885.0,3.4669745151156963
Eucalipto2,Nro Folhas,12,12.0,0.0
Eucalipto3,Altura Vert.,1107,1098.0,0.8130081300813008
Eucalipto3,Compr Total,1340,1339.0,0.07462686567164178
Eucalipto3,Diâmetro,21,19.0,9.523809523809524
Eucalipto3,Área,179931,187933.0,4.447260338685385
Eucalipto3,Nro Folhas,12,12.0,0.0
Eucalipto4,Altura Vert.,794,794.0,0.0
Eucalipto4,Compr Total,630,628.0,0.31746031746031744
Eucalipto4,Diâmetro,14,16.0,14.285714285714286
Eucalipto4,Área,43952,45177.0,2.7871314160902805
Eucalipto4,Nro Folhas,13,13.0,0.0
Eucalipto5,Altura Vert.,269,264.0,1.858736059479554
Eucalipto5,Compr Total,75,73.0,2.6666666666666665
Eucalipto5,Diâmetro,16,14.0,12.5
Eucalipto5,Área,28524,27868.0,2.2998176973776467
Eucalipto5,Nro Folhas,4,4.0,0.0
